Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.21447806, 0.19932283, 0.20662291, 0.41139138, 0.5743846, 0.45486325, 0.8180033, 50.802135, -0.008236574, 0.93654823, 0.997123, 0.99425507, 0.991396, 0.98854613, 0.9857056, -0.006657855, -0.007866594, 82, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 2, 0.19361098, 0.19093184, 0.19226208, 0.40822557, 0.5851832, 0.46413285, 0.8056645, 51.60428, -0.011094349, 0.70304567, 0.99700654, 0.99402285, 0.991049, 0.98808527, 0.9851314, -0.0065243132, -0.008045467, 62, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 3, 0.20458801, 0.19299279, 0.19862132, 0.40720695, 0.57126105, 0.4641891, 0.81171227, 51.336895, -0.009623927, 0.9492386, 0.99705285, 0.9941155, 0.9911876, 0.9882696, 0.9853613, -0.0065852334, -0.0082534775, 73, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 1, 0.19830346, 0.18239364, 0.1900161, 0.39045936, 0.5553079, 0.44232115, 0.802212, 52.673794, -0.004482968, 0.9593909, 0.9969109, 0.99383193, 0.99076337, 0.9877052, 0.9846568, -0.0062406114, -0.007554788, 65, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 2, 0.19589774, 0.19402327, 0.194956, 0.39045173, 0.5664657, 0.47102055, 0.8156848, 53.743317, -0.008867575, 0.7182741, 0.9969336, 0.9938777, 0.9908321, 0.98779696, 0.98477185, -0.0062333257, -0.007572319, 56, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 3, 0.19475494, 0.20005888, 0.19737127, 0.41096225, 0.5200017, 0.44113815, 0.7830827, 51.336895, -0.011682679, 0.680203, 0.99689287, 0.99379647, 0.99071103, 0.98763645, 0.98457247, -0.0061102766, -0.007669187, 66, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.198587, 0.190343, 0.19437762, 0.39085945, 0.5627582, 0.4151713, 0.79896355, 52.941177, -0.010117322, 0.71319795, 0.9968813, 0.99377316, 0.99067575, 0.98758894, 0.98451245, -0.0059037716, -0.007243221, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 2, 0.19604261, 0.18960695, 0.19277109, 0.38915372, 0.50959074, 0.42992014, 0.7772729, 47.593582, -0.008103121, 0.9390863, 0.9968446, 0.99370027, 0.990567, 0.9874448, 0.9843336, -0.0059301355, -0.0074075595, 91, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 3, 0.19459459, 0.19078463, 0.19267078, 0.40129018, 0.5499953, 0.44903085, 0.77993286, 51.336895, -0.008077604, 0.6954315, 0.99693054, 0.99387217, 0.99082434, 0.98778725, 0.9847607, -0.005870491, -0.0076429746, 64, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 1, 0.21762562, 0.20211983, 0.20958632, 0.41472724, 0.5600603, 0.46107894, 0.80154926, 51.069523, -0.0076700794, 0.93147206, 0.997079, 0.99416745, 0.9912652, 0.9883725, 0.98548883, -0.006486691, -0.007574434, 72, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 2, 0.2133979, 0.1946121, 0.20357254, 0.41668165, 0.57526785, 0.46387607, 0.80464196, 52.406418, -0.011896045, 0.9543147, 0.9970199, 0.9940497, 0.99108964, 0.9881397, 0.9851996, -0.006390138, -0.007860357, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 3, 0.20474684, 0.19049022, 0.1973614, 0.41047463, 0.54812604, 0.4230666, 0.8010619, 50.802135, -0.008600171, 0.93147206, 0.99702495, 0.9940599, 0.99110484, 0.9881598, 0.98522437, -0.0063908277, -0.0081203375, 82, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 1, 0.18896033, 0.17738849, 0.18299165, 0.38006553, 0.53818744, 0.4367068, 0.8022421, 50.53476, -0.005895273, 0.9670051, 0.99692637, 0.9938629, 0.9908095, 0.9877663, 0.9847329, -0.00611897, -0.0074366024, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 2, 0.22752854, 0.20830266, 0.21749155, 0.4119411, 0.5406369, 0.4403246, 0.7986951, 53.743317, -0.005603206, 0.9670051, 0.9969649, 0.9939397, 0.99092466, 0.9879197, 0.9849249, -0.0061126444, -0.0073903063, 93, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 3, 0.19880864, 0.19652584, 0.19766064, 0.40688407, 0.5264433, 0.43972433, 0.78122413, 50.802135, -0.0106722815, 0.6928934, 0.9969162, 0.9938432, 0.9907808, 0.987729, 0.98468834, -0.006034598, -0.007619567, 82, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 1, 0.19283995, 0.18872368, 0.19075963, 0.37222856, 0.5605925, 0.4380727, 0.8038264, 51.87166, -0.008401514, 0.7106599, 0.9969337, 0.99387765, 0.99083203, 0.9877966, 0.9847711, -0.0058475966, -0.007165958, 55, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 2, 0.20153467, 0.20491682, 0.20321168, 0.39348626, 0.5491406, 0.4503756, 0.78976256, 50.802135, -0.008535989, 0.6725888, 0.99691695, 0.99384445, 0.9907823, 0.9877309, 0.9846898, -0.005795193, -0.0073960954, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 3, 0.20748712, 0.201531, 0.2044657, 0.39013353, 0.5702739, 0.47660786, 0.79869676, 54.278076, -0.006479895, 0.70304567, 0.99689865, 0.993808, 0.9907278, 0.9876579, 0.98459846, -0.005804192, -0.007303267, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 1, 0.23247778, 0.20800824, 0.21956336, 0.4272029, 0.54400337, 0.4450295, 0.80416614, 51.336895, -0.0077992086, 0.9187817, 0.9970939, 0.9941973, 0.9913101, 0.9884322, 0.98556364, -0.0062727784, -0.0073926016, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 2, 0.22658126, 0.20830266, 0.21705782, 0.4325372, 0.5159099, 0.42329252, 0.7831277, 52.139038, -0.0067570144, 0.9593909, 0.9970793, 0.99416834, 0.99126697, 0.9883757, 0.98549354, -0.006245189, -0.0075123953, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 3, 0.19142419, 0.18401295, 0.18764542, 0.4132781, 0.5873456, 0.44126287, 0.81652015, 51.336895, -0.00629048, 0.9568528, 0.9971776, 0.9943643, 0.99156004, 0.9887647, 0.9859784, -0.006159291, -0.008026075, 73, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 1, 0.19023219, 0.17488591, 0.18223654, 0.38701642, 0.54733044, 0.44456092, 0.796349, 50.26738, -0.0068096896, 0.9670051, 0.99697506, 0.9939598, 0.99095494, 0.98795974, 0.9849748, -0.0059958156, -0.0073489477, 55, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 2, 0.22150856, 0.19799794, 0.20909446, 0.415392, 0.53033835, 0.4798416, 0.79020697, 52.406418, -0.0043023345, 0.9543147, 0.9969749, 0.9939596, 0.9909546, 0.98795956, 0.9849745, -0.006011773, -0.007244243, 65, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 3, 0.19717668, 0.19122626, 0.19415589, 0.40516725, 0.52223283, 0.41859266, 0.77401733, 50.26738, -0.0056231422, 0.6954315, 0.99687374, 0.99375826, 0.99065334, 0.9875592, 0.98447573, -0.0059042764, -0.0075382614, 84, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 1, 0.18592593, 0.184749, 0.1853356, 0.3719337, 0.5705546, 0.43470848, 0.8058874, 51.60428, -0.0069983234, 0.69796956, 0.99692506, 0.9938601, 0.9908054, 0.9877607, 0.9847264, -0.005783482, -0.0071922233, 54, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 2, 0.20055538, 0.19137347, 0.19585688, 0.3831349, 0.5292405, 0.40771332, 0.7858507, 50.0, -0.010212514, 0.9467005, 0.9968308, 0.99367285, 0.99052656, 0.9873912, 0.98426706, -0.0056507853, -0.0071428264, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 3, 0.1806729, 0.17944944, 0.18005909, 0.38756898, 0.5968444, 0.43732005, 0.8162905, 52.139038, -0.014529011, 0.6954315, 0.9968826, 0.99377596, 0.9906803, 0.9875952, 0.9845211, -0.00568129, -0.007475926, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 1, 0.23709002, 0.20005888, 0.21700598, 0.41708338, 0.5358357, 0.43100575, 0.8002009, 51.069523, -0.009662823, 0.9670051, 0.9970282, 0.99406606, 0.9911139, 0.98817146, 0.98523873, -0.0065482026, -0.0075296117, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 2, 0.21024168, 0.1831297, 0.19575137, 0.40381932, 0.5963172, 0.4577313, 0.8216789, 51.87166, -0.011299158, 0.9543147, 0.99695927, 0.99392885, 0.99090856, 0.98789835, 0.98489827, -0.006504343, -0.0077858325, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 3, 0.1968315, 0.18106875, 0.18862137, 0.40207875, 0.5774569, 0.44810963, 0.81537926, 51.60428, -0.008324662, 0.9467005, 0.9970183, 0.994047, 0.9910851, 0.9881336, 0.98519176, -0.0064756223, -0.008239454, 72, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 1, 0.20744433, 0.1960842, 0.20160438, 0.3966495, 0.5805155, 0.45667952, 0.81962407, 51.60428, -0.0078815045, 0.96954316, 0.99694, 0.99389046, 0.990851, 0.987822, 0.98480296, -0.0061737066, -0.007232778, 91, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 2, 0.21516205, 0.17297217, 0.1917741, 0.41306403, 0.5589192, 0.42174155, 0.7887386, 50.53476, -0.006587424, 0.97461927, 0.9968486, 0.9937081, 0.9905787, 0.9874605, 0.9843532, -0.0060866247, -0.007474808, 72, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 3, 0.21997836, 0.17959665, 0.19774699, 0.41537577, 0.5973684, 0.43998396, 0.8042616, 54.54545, -0.011701999, 0.98730963, 0.9968612, 0.99373347, 0.99061644, 0.98751026, 0.984415, -0.0061600837, -0.0075654206, 73, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 1, 0.2411551, 0.18563227, 0.20978206, 0.4181648, 0.5622132, 0.42384467, 0.77894163, 51.87166, -0.010238793, 0.96954316, 0.99682593, 0.9936629, 0.99051076, 0.98736966, 0.9842392, -0.005893824, -0.007060298, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 2, 0.2548096, 0.19107905, 0.21838984, 0.43732527, 0.5355807, 0.44663742, 0.7838857, 52.139038, -0.0045492286, 0.9467005, 0.99689174, 0.9937941, 0.9907073, 0.987631, 0.9845651, -0.005947761, -0.0072583556, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 3, 0.22442643, 0.19152068, 0.20667197, 0.43862414, 0.5582023, 0.45485654, 0.7984732, 52.673794, -0.005083876, 0.9467005, 0.99692327, 0.99385715, 0.9908014, 0.98775625, 0.98472124, -0.00588595, -0.0072924066, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 1, 0.22385594, 0.19947004, 0.21096061, 0.40581504, 0.55511135, 0.45259348, 0.8111612, 51.60428, -0.008340092, 0.9543147, 0.9971382, 0.99428535, 0.9914415, 0.9886071, 0.98578113, -0.006379885, -0.007588811, 73, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 2, 0.21673669, 0.18224643, 0.19800079, 0.41404566, 0.58079535, 0.4503917, 0.8202443, 51.60428, -0.008980439, 0.97715735, 0.9970435, 0.9940967, 0.99115956, 0.9882322, 0.9853145, -0.0063962843, -0.0077034226, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 3, 0.1932661, 0.19181511, 0.19253787, 0.4067263, 0.5951405, 0.43531087, 0.81985784, 51.069523, -0.008027647, 0.6751269, 0.99702775, 0.99406534, 0.991113, 0.98817056, 0.98523784, -0.006282249, -0.007951173, 55, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 1, 0.2188348, 0.20182541, 0.20998622, 0.40110806, 0.55678874, 0.44536582, 0.81391084, 52.139038, -0.007544549, 0.9492386, 0.99691236, 0.99383533, 0.9907688, 0.98771274, 0.98466706, -0.0060596582, -0.0071547385, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 2, 0.19832312, 0.18106875, 0.18930358, 0.39394248, 0.5601314, 0.4424932, 0.7916561, 50.802135, -0.008775871, 0.96192896, 0.99693805, 0.99388665, 0.9908458, 0.987815, 0.9847947, -0.005952827, -0.0075076115, 72, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 3, 0.18329363, 0.18121596, 0.18224888, 0.38930905, 0.58164626, 0.44129273, 0.80879873, 52.406418, -0.013975338, 0.70558375, 0.9969592, 0.99392873, 0.99090844, 0.98789805, 0.9848981, -0.0059104646, -0.0076226755, 63, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 1, 0.2489334, 0.1975563, 0.2202889, 0.423857, 0.56622094, 0.40811703, 0.80155814, 53.743317, -0.011541551, 0.964467, 0.99682856, 0.9936681, 0.9905186, 0.98737997, 0.98425215, -0.0058908677, -0.007045312, 76, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 2, 0.25009862, 0.18666275, 0.2137739, 0.43981802, 0.5266438, 0.43974608, 0.780426, 50.53476, -0.0069647096, 0.9492386, 0.99682915, 0.9936692, 0.99052024, 0.9873827, 0.984256, -0.005926114, -0.007133696, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 3, 0.2539946, 0.18018548, 0.2108164, 0.47504613, 0.5344061, 0.43527874, 0.77178913, 50.26738, -0.008001456, 0.9593909, 0.9968568, 0.9937246, 0.99060327, 0.9874928, 0.9843933, -0.0058818124, -0.0071405345, 81, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 1, 0.23625557, 0.21065803, 0.22272374, 0.419867, 0.5403351, 0.45985058, 0.80647135, 51.60428, -0.006140585, 0.9543147, 0.9971463, 0.9943017, 0.9914658, 0.98863924, 0.98582137, -0.0062231063, -0.007370102, 73, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 2, 0.2303431, 0.18975416, 0.20808783, 0.42290393, 0.54427856, 0.4419205, 0.8002964, 50.53476, -0.0035503353, 0.97461927, 0.9968699, 0.9937511, 0.9906426, 0.98754513, 0.9844584, -0.006210632, -0.00721503, 64, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 3, 0.1924452, 0.18224643, 0.18720703, 0.41166967, 0.6221625, 0.43965846, 0.8292808, 50.802135, -0.005115297, 0.96192896, 0.99720424, 0.99441785, 0.9916401, 0.9888717, 0.9861119, -0.006102253, -0.00790189, 64, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 1, 0.21408091, 0.19785073, 0.2056461, 0.39916256, 0.5585666, 0.4427504, 0.80913985, 50.26738, -0.009279879, 0.9441624, 0.9969152, 0.993841, 0.99077725, 0.9877241, 0.9846814, -0.0059480406, -0.0070212893, 91, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 2, 0.21822071, 0.18018548, 0.1973875, 0.41366124, 0.50061363, 0.43748197, 0.7728346, 49.46524, -0.0068906625, 0.9593909, 0.9968054, 0.9936221, 0.9904504, 0.9872898, 0.98414034, -0.0059429654, -0.006993331, 54, 
